id,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price(£)
83,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128,AMD R4 Graphics,Windows 10,210.19
84,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1,AMD Radeon R5,Windows 10,208.08
85,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128,Nvidia GeForce GTX 1050 Ti,Windows 10,710.65
86,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce GTX 940MX,Windows 10,368.23
87,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,315.54
88,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128,Nvidia GeForce GTX 1060,Windows 10,763.33
89,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,868.68
90,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1,AMD Radeon RX 560,Windows 10,368.23
91,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1,Nvidia GeForce MX150,Windows 10,362.96
92,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,630.57
93,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1060,Windows 10,629.52
94,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,552.61
95,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,446.19
96,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1,AMD Radeon R5 M430,Linux,316.02
97,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Linux,255.5
98,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256,Nvidia GeForce 920M,Windows 10,303.96
99,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128,Nvidia GeForce GTX 1050,Windows 10,657.97
100,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon 530,Windows 10,378.77
101,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500,AMD Radeon R2,Windows 10,183.85
102,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,AMD Radeon 520,Linux,340.84
103,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce MX150,Windows 10,589.48
104,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10 S,705.9
105,14,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Nvidia GeForce 940MX,Windows 10,347.16
106,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,218.57
107,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,628.47
108,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,684.31
109,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,779.66
110,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,Nvidia GeForce MX150,Windows 10,664.81
111,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256,Intel Iris Plus Graphics 640,Windows 10,726.45
112,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,736.99
113,14,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,380.35
114,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,858.15
115,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,736.98
116,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,571.05
117,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,595.45
118,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,Nvidia GeForce 920MX,Windows 10,297.11
119,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,588.96
120,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1,Intel HD Graphics 620,Windows 10,252.33
121,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1180.81
122,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,No OS,331.35
123,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 930MX ,Windows 10,669.56
124,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,237.58
125,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500,Intel HD Graphics 400,No OS,136.44
126,14,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,Intel UHD Graphics 620,Windows 10,427.76
127,14,1366x768,AMD E-Series 6110 1.5GHz,4,64,AMD Radeon R2,Windows 10 S,146.44
128,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,AMD Radeon 530,Windows 10,735.41
129,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,488.87
130,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1,AMD Radeon R7 M445,Windows 10,336.62
131,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1,AMD Radeon R5 M430,Windows 10,236.53
132,14,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,465.69
133,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,301.33
134,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8,1,Intel HD Graphics 620,Windows 10,315.02
135,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,520.47
136,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,No OS,132.94
137,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,494.13
138,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1,Nvidia GeForce 920MX,No OS,262.87
139,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,368.23
140,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1,Nvidia GeForce MX130,Windows 10,345.05
141,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon RX 550,Windows 10,587.91
142,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050M,No OS,457.78
143,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,500,Intel HD Graphics 520,Windows 10,317.13
144,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,194.39
145,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,578.95
146,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8,512,Intel HD Graphics 515,Windows 10,1060.96
147,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,Windows 10,181.22
148,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1070,Windows 10,1068.87
149,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1,Intel HD Graphics 520,Windows 10,235.48
150,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,658.1
151,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Windows 10,473.59
152,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10,262.34
153,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,995.64
154,14,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4,256,Intel HD Graphics 620,Windows 10,569.99
155,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6,256,AMD Radeon 520,Windows 10,326.09
156,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,256,Intel HD Graphics 620,Windows 10,331.35
157,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,692.73
158,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,552.61
159,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4,500,Intel HD Graphics 520,Windows 10,235.48
160,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1,AMD Radeon R5 M420,Windows 10,212.3
161,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Nvidia GeForce MX150,Windows 10,424.07
162,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Windows 10,383.51
163,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,568.41
164,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,1,Intel HD Graphics 500,Windows 10,183.32
165,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1060,Windows 10,947.7
166,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1,Intel HD Graphics 505,Windows 10,191.5
167,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128,Nvidia GeForce GTX 1050,Windows 10,558.66
168,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,Windows 10,449.88
169,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500,Intel UHD Graphics 620,Windows 10,397.2
170,13,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,710.65
171,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,2,AMD Radeon 520,Windows 10,368.23
172,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4,500,AMD Radeon R4 Graphics,No OS,162.78
173,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,500,Intel HD Graphics 620,Windows 10,257.6
174,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX,Windows 10,486.23
175,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8,1,Intel HD Graphics 620,Windows 10,241.8
176,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,236.53
177,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32,512,Nvidia GTX 980 SLI,Windows 10,1474.5
178,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,128,AMD R17M-M1-70,Windows 10,428.28
179,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,789.67
180,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,AMD Radeon 530,Linux,552.61
181,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,736.99
182,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows 10,974.04
183,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,417.75
184,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,631.63
185,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 150MX,Windows 10,816
186,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,1262.73
187,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,No OS,410.37
188,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8,256,Intel HD Graphics 615,Windows 10,521
189,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128,AMD Radeon 530,Windows 10,571.57
190,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16,1,Intel HD Graphics 620,Windows 10,1487.67
191,14,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,136.97
192,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce MX150,No OS,526.74
193,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,No OS,367.7
194,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,1,Intel UHD Graphics 620,Windows 10,441.98
195,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1,Nvidia GeForce 930MX,Windows 10,481.49
196,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32,1,Nvidia GeForce GTX 1080,Windows 10,3212.92
197,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,512,Intel UHD Graphics 620,Windows 10,505.2
198,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050,Windows 10,726.45
199,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 930MX ,Windows 10,550.5
200,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,Windows 10,971.94
201,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4,128,Intel HD Graphics 520,Windows 10,259.71
202,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1,Nvidia GeForce 940MX,Windows 10,390.88
203,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,Windows 10,921.36
204,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16,256,Nvidia Quadro M1200,Windows 10,1609.36
205,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1060,No OS,736.46
206,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6,1,Intel HD Graphics 620,Windows 10,231.26
207,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,1026.72
208,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,763.33
209,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,314.5
210,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1,Nvidia GeForce GTX 1050,Linux,410.37
211,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050,Windows 10,741.2
212,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500,Intel HD Graphics 520,No OS,183.85
213,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,No OS,289.21
214,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,789.67
215,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon 530,Windows 10,490.91
216,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8,1,Nvidia GeForce GTX 940MX,No OS,310.28
